lam_inter,lam_hidden,违约率,分歧率,ML增量捕获违约,规则绿区内总违约,采用
0.5,0.5,0.17291666666666666,0.1158,107,156,
0.5,1.0,0.18291666666666667,0.1054,117,173,
0.5,1.5,0.18041666666666667,0.1112,132,184,
0.5,2.0,0.17958333333333334,0.1121,142,194,
1.0,0.5,0.17791666666666667,0.1,98,152,
1.0,1.0,0.18041666666666667,0.1067,122,167,
1.0,1.5,0.18125,0.1146,133,176,
1.0,2.0,0.18125,0.1233,150,190,True
1.5,0.5,0.17666666666666667,0.1004,111,153,
1.5,1.0,0.17833333333333334,0.1029,120,164,
1.5,1.5,0.18083333333333335,0.11,140,171,
1.5,2.0,0.18041666666666667,0.1217,146,178,
2.0,0.5,0.17708333333333334,0.0946,109,154,
2.0,1.0,0.18,0.105,123,159,
2.0,1.5,0.17958333333333334,0.1083,139,166,
2.0,2.0,0.18083333333333335,0.1067,143,176,
